angleX,angleY,angleZ
169.58,-15.92,1449.28
169.17,-18.18,1449.9
168.89,-20.6,1450.49
168.54,-22.93,1451.0
168.2,-25.35,1451.39
167.25,-24.88,1451.74
166.61,-27.71,1451.96
166.39,-30.79,1451.92
165.42,-33.42,1451.84
164.71,-36.53,1451.72
164.06,-39.59,1451.49
163.51,-42.36,1451.35
163.1,-44.92,1451.17
162.6,-47.24,1451.0
162.09,-49.5,1450.82
161.53,-51.72,1450.59
160.87,-53.9,1450.33
160.24,-56.19,1450.02
159.55,-58.45,1449.68
158.83,-60.75,1449.31
158.08,-63.04,1448.88
157.41,-65.08,1448.54
156.83,-66.9,1448.25
156.32,-68.48,1448.03
155.85,-69.92,1447.87
155.42,-71.19,1447.76
155.02,-72.42,1447.68
154.55,-73.51,1447.61
154.15,-74.54,1447.57
153.69,-75.54,1447.58
153.3,-76.42,1447.61
152.82,-77.14,1447.68
152.3,-78.17,1447.71
151.59,-78.66,1447.76
150.91,-79.74,1447.87
150.36,-80.49,1448.07
149.86,-81.36,1448.34
149.52,-82.02,1448.63
149.2,-82.35,1448.98
148.87,-82.53,1449.36
148.31,-82.51,1449.77
147.53,-82.61,1450.07
146.69,-82.84,1450.3
145.93,-83.19,1450.49
145.07,-83.48,1450.69
144.33,-84.04,1450.9
143.58,-84.72,1451.15
142.99,-85.57,1451.42
142.53,-86.38,1451.73
142.26,-87.03,1452.09
142.01,-87.14,1452.68
141.63,-87.16,1453.18
140.94,-87.17,1453.66
140.12,-87.73,1454.12
139.41,-89.38,1454.46
138.82,-91.42,1454.7
138.43,-93.61,1454.87
138.31,-95.59,1454.98
138.41,-97.19,1455.11
138.74,-98.4,1455.27
90.68,-28.58,-158.99
92.23,-25.08,-158.95
93.75,-21.6,-158.82
95.22,-17.96,-158.61
96.73,-14.32,-158.34
98.11,-10.32,-158.07
99.49,-8.27,-157.74
100.62,-4.48,-157.44
101.38,-2.88,-157.17
101.98,-0.39,-156.91
102.47,1.39,-156.69
102.85,3.76,-156.48
103.37,6.63,-156.26
103.79,9.25,-155.94
104.38,12.19,-155.55
104.88,15.2,-155.06
105.45,18.16,-154.47
106.1,21.18,-153.8
106.67,23.99,-153.07
107.26,26.82,-152.3
107.88,29.65,-151.41
108.49,32.44,-150.65
109.18,35.24,-149.92
109.82,37.92,-149.24
110.53,40.51,-148.63
111.07,43.12,-148.18
111.14,45.68,-147.85
111.35,48.47,-147.54
111.9,44.19,-147.16
112.58,39.98,-146.78
113.07,43.04,-146.41
113.5,38.71,-146.16
113.81,41.37,-145.98
114.07,43.91,-145.87
114.28,46.36,-145.82
114.45,48.72,-145.81
114.58,51.02,-145.85
114.64,53.3,-145.92
114.76,55.66,-146.01
114.91,57.98,-146.11
